User;Follower Count;First Tweet Date;Last Tweet Date;Time Between T1 Tn;Avg Tweets Per Day;Tweet Total;Retweet Total;Favorite Total;Avg Favorites;Average Retweets;Avg Inter Per Tweet;Avg Int Per Tweet Per Follower
Strava;146233;2017-10-02 18:45:01;2017-07-08 11:00:07;86;2.3255813953488373;200;2745;11798;58.99;13.725;169.10465116279067;0.001156405538850948
sfmta_muni;145873;2017-10-03 16:32:36;2017-09-28 20:09:11;4;50.0;200;221;219;1.095;1.105;110.0;0.000754080604361328
Merck;145351;2017-10-03 15:04:17;2017-06-15 19:58:20;109;1.834862385321101;200;24232;60547;302.735;121.16;777.7889908256881;0.005351108632384284
Springboard_Inc;144864;2017-09-30 17:00:13;2016-12-11 01:00:05;293;0.6825938566552902;200;64;98;0.49;0.32;0.552901023890785;3.8166903018747586e-06
lalpinawater;144751;2017-09-29 11:36:51;2016-04-05 12:38:34;541;0.36968576709796674;200;20244;25246;126.23;101.22;84.08502772643253;0.0005808942786331876
JBLaudio;144546;2017-09-30 17:24:19;2017-07-17 15:42:40;75;2.6666666666666665;200;99604;26348;131.74;498.02;1679.36;0.011618169994327065
digitalocean;144365;2017-10-03 16:29:39;2017-09-27 15:42:01;6;33.333333333333336;200;813;1333;6.665;4.065;357.66666666666663;0.0024775164802179656
NickyDiamonds;143658;2017-10-03 04:38:45;2017-03-18 19:44:15;198;1.0101010101010102;200;78289;9099;45.495;391.445;441.35353535353534;0.00307225170441977
acnnews;143628;2017-10-03 14:22:56;2017-06-28 15:16:40;96;2.0833333333333335;200;1292;3340;16.7;6.46;48.25;0.0003359372824240399
zteusa;143447;2017-10-03 14:30:31;2017-08-29 14:52:34;34;5.882352941176471;200;4116;974;4.87;20.58;149.7058823529412;0.001043632019860584
QVC;143392;2017-10-03 16:12:50;2017-09-11 16:28:52;21;9.523809523809524;200;420;1564;7.82;2.1;94.47619047619048;0.0006588665370187352
thomsonreuters;142056;2017-10-03 15:06:04;2017-09-06 14:00:22;27;7.407407407407407;200;914;547;2.735;4.57;54.111111111111114;0.0003809139431710812
OfficialMOPAR;141998;2017-10-03 14:06:08;2017-06-12 13:00:24;113;1.7699115044247788;200;3382;11227;56.135;16.91;129.28318584070797;0.0009104577940584231
verizonfios;141858;2017-10-03 07:26:25;2017-09-12 02:41:53;21;9.523809523809524;200;88;84;0.42;0.44;8.19047619047619;5.773714693902487e-05
SamsungSupport;141800;2017-10-03 16:28:03;2017-10-01 02:53:06;2;100.0;200;5;22;0.11;0.025;13.5;9.520451339915373e-05
seobook;141306;2016-11-26 00:20:14;2012-07-10 18:27:19;1599;0.12507817385866166;200;3132;1821;9.105;15.66;3.097560975609756;2.1920944444041697e-05
Garmin;141122;2017-10-03 14:00:55;2017-09-18 19:58:00;14;14.285714285714286;200;41;179;0.895;0.205;15.714285714285715;0.00011135248731087793
MonteCarloVegas;141099;2017-10-03 02:22:10;2017-06-27 18:44:37;97;2.0618556701030926;200;84331;1955;9.775;421.655;889.5463917525774;0.006304413154966211
RavenSoftware;141001;2017-09-29 17:39:29;2015-03-05 21:01:49;938;0.21215351812366737;199;54801;71806;360.83417085427135;275.3819095477387;134.97547974413646;0.0009572661168653872
BorgataAC;141014;2017-10-03 03:27:11;2017-08-05 14:29:00;58;3.4482758620689653;200;518;1280;6.4;2.59;31.0;0.0002198363283078276
tntdrama;140813;2017-09-29 22:00:08;2017-05-31 01:46:15;121;1.6528925619834711;200;29129;4940;24.7;145.645;281.56198347107437;0.0019995453791274553
YogaWorks;139784;2017-10-02 19:30:27;2017-07-24 17:12:02;70;2.842857142857143;199;919;2179;10.949748743718592;4.618090452261306;44.25714285714286;0.0003166109344212704
YourPetsList;139671;2015-01-31 23:06:01;2014-11-04 18:28:01;88;2.272727272727273;200;448;800;4.0;2.24;14.181818181818183;0.00010153731398656975
NikeLasVegas;139511;2017-09-30 19:21:25;2017-05-30 19:37:26;122;1.639344262295082;200;210;1158;5.79;1.05;11.21311475409836;8.037441315809048e-05
KEEN;139240;2017-10-02 22:31:57;2017-07-31 21:34:52;63;3.1746031746031744;200;160;601;3.005;0.8;12.079365079365079;8.675211921405544e-05
etnies;138192;2017-09-29 22:08:35;2017-05-22 23:13:00;129;1.550387596899225;200;1982;5496;27.48;9.91;57.968992248062015;0.0004194815347347315
earthquakesSF;138109;2017-10-03 16:16:02;2017-05-05 23:00:26;150;1.3333333333333333;200;321;503;2.515;1.605;5.493333333333334;3.9775346525811746e-05
Caribou_Coffee;137893;2017-10-03 15:52:48;2017-09-06 01:37:46;27;7.407407407407407;200;240;1431;7.155;1.2;61.888888888888886;0.0004488182060647668
