User;Follower Count;First Tweet Date;Last Tweet Date;Time Between T1 Tn;Avg Tweets Per Day;Tweet Total;Retweet Total;Favorite Total;Avg Favorites;Average Retweets;Avg Inter Per Tweet;Avg Int Per Tweet Per Follower
Dove;195226;2017-10-03 16:29:55;2017-09-17 17:06:31;15;13.333333333333334;200;456;2746;13.73;2.28;213.46666666666667;0.001093433593203091
Uber_Support;197722;2017-10-03 16:32:26;2017-10-03 10:51:29;1;200.0;200;1;1;0.005;0.005;2.0;1.0115212267729438e-05
omegawatches;195095;2017-10-03 15:36:15;2017-03-28 11:57:07;189;1.0582010582010581;200;9346;28144;140.72;46.73;198.35978835978835;0.0010167343517762544
DalianWanda;195298;2017-10-01 14:10:54;2017-07-28 17:00:54;64;3.125;200;300;1004;5.02;1.5;20.375;0.00010432774529181046
AerLingus;195381;2017-10-03 16:23:53;2017-10-02 09:06:04;1;200.0;200;232;502;2.51;1.16;734.0;0.003756762428281153
AuthorNetwork;193828;2017-10-03 16:15:10;2017-09-29 15:15:05;4;50.0;200;792;198;0.99;3.96;247.5;0.0012769052974802401
Cognizant;193205;2017-10-03 15:30:08;2017-09-23 02:49:08;10;20.0;200;453;701;3.505;2.265;115.39999999999999;0.0005972930307186667
BECCA_COSMETICS;191979;2017-10-03 16:32:18;2017-08-16 17:18:54;47;4.23404255319149;199;1512;5947;29.884422110552762;7.597989949748744;158.70212765957447;0.0008266639979350579
soccerdotcom;190214;2017-10-03 15:49:23;2017-09-16 17:52:11;16;12.5;200;10831;29489;147.445;54.155;2520.0;0.013248236197125344
KarenManzano;190810;2017-10-03 13:52:53;2017-09-20 22:32:09;12;16.666666666666668;200;130257;6911;34.555;651.285;11430.666666666666;0.059906014709222084
footballtips;189741;2017-10-03 16:30:01;2017-10-02 14:20:01;1;200.0;200;35;160;0.8;0.175;195.0;0.001027716729647256
EAHelp;193362;2017-10-03 16:25:46;2017-10-02 19:49:06;1;200.0;200;2;28;0.14;0.01;30.0;0.00015514940888075216
yamsafer;188813;2017-10-03 11:50:23;2017-05-13 14:30:59;142;1.4014084507042253;199;494;1264;6.351758793969849;2.4824120603015074;12.380281690140846;6.556901108578777e-05
WilliamHill;188394;2017-10-03 16:26:04;2017-10-01 17:25:06;1;200.0;200;54;132;0.66;0.27;186.0;0.0009872925889359535
BeachesResorts;188193;2017-10-03 16:13:20;2017-06-29 21:00:02;95;2.1052631578947367;200;894;4005;20.025;4.47;51.56842105263158;0.00027401880544245314
milanicosmetics;189020;2017-10-02 18:00:13;2017-03-25 19:46:01;190;1.0526315789473684;200;3464;23233;116.165;17.32;140.5105263157895;0.000743363275398315
LongHairProbss;186908;2015-05-07 00:50:24;2014-04-08 17:43:15;393;0.5063613231552163;199;11289;13361;67.14070351758794;56.7286432160804;62.722646310432566;0.0003355803192502866
freelancer;187334;2017-10-03 15:00:33;2017-09-11 23:00:22;21;9.523809523809524;200;542;1108;5.54;2.71;78.57142857142857;0.00041941894461992255
VivaColombiaco;187507;2017-10-03 15:57:38;2017-09-14 22:36:04;18;11.11111111111111;200;158;1063;5.315;0.79;67.83333333333334;0.00036176427191162645
PhilipsLiveFrom;185974;2017-10-03 10:49:57;2017-09-03 16:12:10;29;6.896551724137931;200;480;654;3.27;2.4;39.10344827586207;0.0002102629844809601
ESEA;186597;2017-10-03 15:23:26;2017-09-14 11:30:01;19;10.526315789473685;200;2193;11180;55.9;10.965;703.8421052631579;0.003771990467494965
