User "Follower Count" "First Tweet Date" "Last Tweet Date" "Time Between T1 Tn" "Avg Tweets Per Day" "Tweet Total" "Retweet Total" "Favorite Total" "Avg Favorites" "Average Retweets" "Avg Inter Per Tweet" "Avg Int Per Tweet Per Follower"
" 213262 "2017-09-22 21:53:42" "2014-12-13 23:08:10" 1013 0.19447186574531095 197 7522 347 1.7614213197969544 38.18274111675127 7.768015794669299 3.6424753564485465e-05
"MyPaniniKabob
" 212547 "2017-07-19 17:15:17" "2017-02-01 19:30:20" 167 1.1976047904191616 200 288 659 3.295 1.44 5.6706586826347305 2.6679551735073796e-05
"onlyinsf
" 211973 "2017-09-24 01:22:01" "2017-07-10 15:46:48" 75 2.6666666666666665 200 766 2141 10.705 3.83 38.76 0.0001828534766220226
"iHerb
" 211948 "2017-09-24 06:00:08" "2017-09-18 18:04:36" 5 40.0 200 33 94 0.47 0.165 25.4 0.00011984071564723423
"idSoftware
" 211850 "2017-09-22 15:00:39" "2017-06-22 16:57:32" 91 2.197802197802198 200 31308 1622 8.11 156.54 361.86813186813185 0.001708133735511597
"IntelBusiness
" 210947 "2017-09-23 22:00:07" "2017-08-30 19:56:05" 24 8.333333333333334 200 1939 14201 71.005 9.695 672.5 0.0031880045698682606
"FanDuel
" 210704 "2017-09-24 15:41:13" "2017-09-17 19:50:21" 6 33.333333333333336 200 1073 852 4.26 5.365 320.83333333333337 0.0015226731971549347
"audible_com
" 210395 "2017-09-24 15:03:27" "2017-08-30 23:35:00" 24 8.291666666666666 199 2714 7130 35.82914572864322 13.638190954773869 410.16666666666663 0.0019495076720771247
"ThrillScience
" 209752 "2017-09-24 04:54:55" "2017-09-14 13:05:45" 9 22.22222222222222 200 311420 41 0.205 1557.1 34606.777777777774 0.16498902407499225
"PivotalMV
" 209368 "2017-07-23 16:36:49" "2013-06-09 03:15:34" 1505 0.132890365448505 200 1680 240 1.2 8.4 1.2757475083056478 6.0933261449010725e-06
"CarnivalCruise
" 209400 "2017-09-24 13:00:00" "2017-09-13 14:52:51" 10 20.0 200 548 1074 5.37 2.74 162.2 0.0007745940783190066
"realtordotcom
" 209075 "2017-09-24 15:04:02" "2017-09-18 04:00:02" 6 33.333333333333336 200 3257 2052 10.26 16.285 884.8333333333334 0.004232133604368448
"Hornblasters
" 208910 "2017-09-24 03:09:55" "2017-01-17 15:20:18" 249 0.8032128514056225 200 1089 1514 7.57 5.445 10.453815261044177 5.0039803078091894e-05
"SherriHill
" 208688 "2017-09-24 04:56:56" "2017-08-18 17:03:44" 36 5.555555555555555 200 5018 17591 87.955 25.09 628.0277777777778 0.003009410113556016
"FoutsVentures
" 208190 "2015-07-02 19:54:24" "2012-08-06 23:56:29" 1059 0.18885741265344666 200 3636 540 2.7 18.18 3.9433427762039663 1.8941076786608224e-05
"kpcb
" 208179 "2017-09-19 18:43:38" "2016-12-01 18:22:58" 292 0.684931506849315 200 2709 1928 9.64 13.545 15.88013698630137 7.628116662248051e-05
"frappuccino
" 207081 "2017-09-22 22:28:31" "2017-08-16 16:53:19" 37 5.405405405405405 200 949 4625 23.125 4.745 150.64864864864865 0.0007274865808483089
"SupergiantGames
" 206834 "2017-09-24 03:17:13" "2017-08-25 23:13:59" 29 6.862068965517241 199 2418 4220 21.20603015075377 12.150753768844222 228.89655172413794 0.0011066679159332504
"Sears
" 206727 "2017-09-22 16:33:13" "2017-05-08 13:13:05" 137 1.4598540145985401 200 541 1251 6.255 2.705 13.08029197080292 6.327326363176035e-05
"NewEraCap
" 206601 "2017-09-23 23:10:43" "2017-05-23 18:14:29" 123 1.6260162601626016 200 13464 15120 75.6 67.32 232.390243902439 0.0011248263266026737
"1SteveBurton
" 206406 "2017-09-24 00:18:21" "2017-08-07 01:07:54" 47 4.25531914893617 200 58038 43083 215.415 290.19 2151.5106382978724 0.010423682636637852
"RetailMeNot
" 206220 "2017-09-23 19:00:14" "2017-05-08 20:30:40" 137 1.4598540145985401 200 285 659 3.295 1.425 6.890510948905109 3.3413398064712974e-05
"Shareaholic
" 205624 "2017-09-20 19:49:49" "2016-09-18 01:00:18" 367 0.5449591280653951 200 858 1430 7.15 4.29 6.23433242506812 3.0319089333288524e-05
"ChaseforBiz
" 205528 "2017-09-21 01:19:15" "2017-03-05 23:42:43" 199 1.0050251256281406 200 1390 2768 13.84 6.95 20.894472361809044 0.00010166241272142503
"Accel
" 205033 "2017-09-22 18:19:29" "2017-02-23 18:01:25" 211 0.9478672985781991 200 64648 1588 7.94 323.24 313.91469194312793 0.0015310447193531184
"alexandani
" 204533 "2017-09-24 11:00:04" "2017-09-21 15:56:03" 2 100.0 200 1928 599 2.995 9.64 1263.5 0.006177487251445977
"TGIFridays
" 204233 "2017-09-24 02:00:01" "2017-09-18 15:48:58" 5 40.0 200 106 486 2.43 0.53 118.4 0.000579730014248432
"zumiez
" 203818 "2017-09-22 20:13:35" "2017-07-12 19:49:49" 72 2.7777777777777777 200 4605 4427 22.135 23.025 125.44444444444446 0.0006154728455997235
"socmrktng
" 203001 "2017-09-24 15:48:01" "2017-09-22 17:30:03" 1 200.0 200 9 37 0.185 0.045 46.0 0.00022659986896616271
"RadioShack
" 202874 "2017-09-06 13:03:34" "2017-01-31 16:35:18" 217 0.9216589861751152 200 849 1547 7.735 4.245 11.041474654377879 5.442528196998077e-05
"yamaharacingcom
" 202810 "2017-09-24 15:51:52" "2017-09-12 12:11:54" 12 16.666666666666668 200 2234 7435 37.175 11.17 805.75 0.003972930328879246
"SierraNevada
" 202651 "2017-09-22 16:09:54" "2016-09-01 22:04:23" 385 0.5194805194805194 200 4225 18503 92.515 21.125 59.03376623376623 0.00029130754959889773
"PlanBofficial
" 202393 "2017-09-24 01:23:19" "2017-04-21 01:51:29" 155 1.2903225806451613 200 4357 10031 50.155 21.785 92.8258064516129 0.00045864138805004574
"Monster
" 202200 "2017-09-24 15:54:22" "2017-09-18 12:05:33" 6 33.333333333333336 200 118 117 0.585 0.59 39.16666666666667 0.0001937026046818332
"guitarcenter
" 201755 "2017-09-24 15:27:05" "2017-08-29 00:27:02" 26 7.6923076923076925 200 1286 4272 21.36 6.43 213.76923076923077 0.0010595486147517077
"venFido
" 201574 "2017-08-20 05:00:17" "2017-08-08 05:00:54" 11 18.181818181818183 200 133 1302 6.51 0.665 130.45454545454544 0.0006471794251964312
"starbucksgold
" 199662 "2017-09-23 00:09:14" "2017-06-06 23:43:53" 108 1.8518518518518519 200 13 112 0.56 0.065 1.1574074074074074 5.79683368596632e-06
"elementbrand
" 199478 "2017-09-21 22:18:25" "2016-07-27 19:56:03" 421 0.4750593824228028 200 2341 7378 36.89 11.705 23.085510688836106 0.00011572960772033059
"PaulMitchellUS
" 199027 "2017-09-24 15:01:04" "2017-06-18 17:01:16" 97 2.0618556701030926 200 570 1832 9.16 2.85 24.762886597938145 0.000124419735000468
"wingstop
" 199017 "2017-09-24 07:37:25" "2017-09-19 01:15:42" 5 40.0 200 21935 1324 6.62 109.675 4651.8 0.02337388263314189
"NikeLA
" 198183 "2017-09-23 21:45:01" "2017-05-19 21:45:02" 126 1.5873015873015872 200 64985 12939 64.695 324.925 618.4444444444445 0.0031205726245159496
"MoheganSun
" 196855 "2017-09-24 15:00:56" "2017-09-09 17:01:14" 14 14.285714285714286 200 1513 2168 10.84 7.565 262.92857142857144 0.0013356458887433464
"SuperBoxInc
" 196447 "2017-07-13 20:46:54" "2014-04-28 19:30:31" 1172 0.1689419795221843 198 65311 6878 34.73737373737374 329.85353535353534 61.594709897610926 0.00031354365247425985
"thezipads
" 196174 "2017-09-20 02:37:25" "2013-12-14 23:47:45" 1375 0.11054545454545454 152 4143 11 0.07236842105263158 27.25657894736842 3.0210909090909093 1.5400057648265872e-05
"SmartyPig
" 195957 "2017-09-21 19:02:44" "2016-09-12 18:31:14" 374 0.5347593582887701 200 1161 966 4.83 5.805 5.68716577540107 2.9022519100624472e-05
"Xerox
" 195784 "2017-09-24 15:45:04" "2017-08-02 13:36:04" 53 3.7735849056603774 200 1960 1491 7.455 9.8 65.11320754716981 0.0003325767557469957
"IBMWatson
" 195910 "2017-09-23 23:46:40" "2017-08-14 12:36:27" 40 5.0 200 13159 8144 40.72 65.795 532.575 0.0027184676637231385
"LuxorLV
" 195762 "2017-09-23 20:19:02" "2017-06-20 01:11:01" 95 2.1052631578947367 200 1143 4704 23.52 5.715 61.54736842105263 0.000314398955982533
"christianrome
" 195363 "2017-08-18 09:03:07" "2016-09-25 16:36:41" 326 0.6104294478527608 199 242925 81 0.40703517587939697 1220.7286432160804 745.4171779141104 0.0038155494024667436
"PetSmart
" 194994 "2017-09-24 13:21:48" "2017-09-08 00:44:24" 16 12.5 200 205 198 0.99 1.025 25.1875 0.00012917064114793274
"Wegmans
" 194158 "2017-09-24 15:42:08" "2017-09-09 16:21:56" 14 14.285714285714286 200 30 237 1.185 0.15 19.07142857142857 9.822633407548785e-05
"stilettoe1
" 193832 "2017-09-23 23:06:45" "2016-08-26 05:08:32" 393 0.5089058524173028 200 3329 11 0.055 16.645 8.498727735368956 4.384584452190018e-05
"YEYOTEQUILA
" 193430 "2016-05-04 19:54:56" "2013-06-21 16:02:40" 1048 0.17557251908396945 184 5087 246 1.3369565217391304 27.64673913043478 5.088740458015267 2.630791737587379e-05
"CanonUSAimaging
" 193262 "2017-09-24 14:11:01" "2017-09-18 15:25:39" 5 40.0 200 210 982 4.91 1.05 238.4 0.0012335585888586479
"TargetStyle
" 193029 "2017-09-01 19:00:30" "2017-04-17 16:15:37" 137 1.4598540145985401 200 349 237 1.185 1.745 4.2773722627737225 2.215922096044492e-05
"ShapeSecurity
" 192966 "2017-09-22 16:06:11" "2016-06-28 21:39:56" 450 0.4444444444444444 200 990 278 1.39 4.95 2.8177777777777777 1.4602457312572048e-05
"kennethcole
" 192767 "2017-09-23 21:14:32" "2017-05-21 12:06:03" 125 1.6 200 1204 1294 6.47 6.02 19.984 0.00010366919649110067
"iShares
" 192499 "2017-09-22 17:49:10" "2017-01-13 11:41:38" 252 0.7936507936507936 200 1096 593 2.965 5.48 6.7023809523809526 3.481774426039072e-05
"SOLIDWORKS
" 192364 "2017-09-24 03:15:03" "2017-08-16 03:15:01" 39 5.128205128205129 200 792 1889 9.445 3.96 68.74358974358975 0.0003573620310639712
"FindOutTheTruth
" 192300 "2017-09-08 01:39:00" "2016-09-02 00:51:31" 371 0.5390835579514824 200 38 18 0.09 0.19 0.1509433962264151 7.849370578596729e-07
"CareerBuilder
" 191994 "2017-09-23 18:09:08" "2017-07-20 12:27:01" 65 3.076923076923077 200 3882 5839 29.195 19.41 149.55384615384617 0.0007789506242582902
"Newegg
" 191526 "2017-09-23 02:59:04" "2017-08-21 20:04:46" 32 6.25 200 16579 5368 26.84 82.895 685.84375 0.003580943318400635
"sneakersteal
" 191482 "2017-09-24 14:54:02" "2017-09-15 22:04:11" 8 25.0 200 1002 3715 18.575 5.01 589.625 0.0030792711586467656
"DollarTree
" 190926 "2017-09-24 14:00:37" "2017-03-23 17:01:56" 184 1.0869565217391304 200 1852 4617 23.085 9.26 35.15760869565217 0.0001841425929189957
"USA_Scholarship
" 190836 "2017-09-24 15:00:24" "2017-09-14 17:00:21" 9 22.22222222222222 200 3666 27 0.135 18.33 410.3333333333333 0.0021501882943120443
"WDCreators
" 190189 "2017-09-23 18:30:07" "2017-06-19 17:01:30" 96 2.0833333333333335 200 2151 2211 11.055 10.755 45.4375 0.0002389070871606665
"Quaker
" 190044 "2017-09-22 13:56:04" "2017-06-27 16:41:13" 86 2.3255813953488373 200 8 55 0.275 0.04 0.7325581395348837 3.854676493521941e-06
"DannyJacksonCHt
" 189630 "2017-09-22 14:14:12" "2016-11-19 20:19:52" 306 0.6535947712418301 200 944 34 0.17 4.72 3.196078431372549 1.685428693441201e-05
"startelegram
" 189122 "2017-09-24 14:59:33" "2017-09-20 23:45:21" 3 66.66666666666667 200 7946 318 1.59 39.73 2754.6666666666665 0.014565553804775047
"shylove
" 188362 "2017-09-24 01:30:01" "2017-07-18 19:21:02" 67 2.985074626865672 200 1651 2765 13.825 8.255 65.91044776119404 0.00034991371805987424
"LillyPulitzer
" 188115 "2017-09-23 23:00:37" "2017-08-02 12:48:18" 52 3.8461538461538463 200 1145 6183 30.915 5.725 140.92307692307693 0.0007491325886988115
"DanteSears
" 187182 "2017-09-23 07:36:38" "2017-01-11 16:47:00" 254 0.7874015748031497 200 100 167 0.835 0.5 1.0511811023622049 5.615823649507991e-06
"PingTour
" 186398 "2017-09-23 00:00:08" "2017-08-11 18:57:54" 42 4.761904761904762 200 21268 6304 31.52 106.34 656.4761904761905 0.003521905763346122
"Tropicana
" 186299 "2017-09-22 12:12:49" "2017-06-02 10:53:56" 112 1.7857142857142858 200 23 68 0.34 0.115 0.8125 4.361268713197601e-06
"Netflixhelps
" 186267 "2017-09-24 15:54:33" "2017-09-23 14:55:54" 1 200.0 200 1 35 0.175 0.005 36.0 0.00019327094976565897
"MTHEMOVEMENT
" 185791 "2017-09-22 03:05:09" "2017-02-16 12:34:33" 217 0.9216589861751152 200 403541 187 0.935 2017.705 1860.4976958525347 0.010013927993565538
"birchbox
" 185709 "2017-09-22 21:11:38" "2017-09-07 18:56:30" 15 13.333333333333334 200 20 159 0.795 0.1 11.933333333333334 6.425823914475515e-05
"Nielsen
" 185514 "2017-09-23 16:15:01" "2017-08-15 22:00:01" 38 5.2631578947368425 200 1040 1190 5.95 5.2 58.68421052631579 0.00031633305586810585
"Bose
" 185063 "2017-09-24 15:06:17" "2017-07-20 14:24:26" 66 3.0303030303030303 200 36341 8428 42.14 181.705 678.3181818181819 0.003665336570887654
"Sharpie
" 184720 "2017-09-22 18:35:38" "2017-07-27 14:56:12" 57 3.508771929824561 200 52 259 1.295 0.26 5.4561403508771935 2.9537355732336473e-05
"Petco
" 183950 "2017-09-24 14:52:58" "2017-09-15 20:10:05" 8 25.0 200 157 400 2.0 0.785 69.625 0.000378499592280511
"BaskinRobbins
" 183845 "2017-09-24 10:46:33" "2017-06-20 22:08:32" 95 2.1052631578947367 200 996 2683 13.415 4.98 38.72631578947369 0.0002106465543771856
"fiverr
" 183447 "2017-09-23 02:49:49" "2017-07-14 00:52:27" 71 2.816901408450704 200 1016 4294 21.47 5.08 74.78873239436619 0.00040768577515231205
"XFINITY
" 183196 "2017-09-23 15:00:02" "2017-08-30 18:09:30" 23 8.695652173913043 200 2233 965 4.825 11.165 139.04347826086956 0.0007589875229855978
"trulia
" 182752 "2017-09-23 20:02:01" "2017-07-20 23:56:53" 64 3.125 200 2118 1079 5.395 10.59 49.953125 0.0002733383218788303
"BP_America
" 182633 "2017-09-23 13:00:05" "2017-08-04 21:03:16" 49 4.081632653061225 200 1063 1680 8.4 5.315 55.97959183673469 0.000306514112108626
"ProDigestive_A4
" 182257 "2017-09-24 06:28:31" "2017-03-29 19:10:14" 178 1.1235955056179776 200 18113 252 1.26 90.565 103.17415730337079 0.0005660916030844949
"flipskateboards
" 182032 "2017-09-21 00:49:38" "2017-05-22 04:04:24" 121 1.6528925619834711 200 10776 20014 100.07 53.88 254.46280991735537 0.0013979015223551648
"elmakias
" 181834 "2017-09-24 05:20:39" "2017-08-31 21:25:16" 23 8.695652173913043 200 1644 16397 81.985 8.22 784.3913043478261 0.004313776875324891
"VerizonSupport
" 181056 "2017-09-24 15:55:00" "2017-09-23 22:24:24" 1 200.0 200 0 24 0.12 0.0 24.0 0.0001325556733828208
"StartupWeekend
" 180796 "2017-09-21 15:45:21" "2017-06-23 16:35:14" 89 2.247191011235955 200 953 1139 5.695 4.765 23.50561797752809 0.0001300118253585704
"ATTDeals
" 180251 "2017-04-23 18:50:01" "2016-12-28 19:12:00" 115 1.7391304347826086 200 685 978 4.89 3.425 14.46086956521739 8.022629314243688e-05
"NikeTraining
" 179772 "2017-09-23 23:10:00" "2017-07-05 16:09:26" 80 2.5 200 965 389 1.945 4.825 16.925 9.414703068330997e-05
"SweetFreeBooks
" 179079 "2017-07-01 01:40:06" "2017-06-11 21:01:32" 19 10.526315789473685 200 127 221 1.105 0.635 18.315789473684212 0.00010227770689854317
"Get_Fit_USA
" 179070 "2017-02-19 21:05:06" "2016-08-04 17:05:29" 199 1.0050251256281406 200 338 710 3.55 1.69 5.266331658291458 2.9409346391307635e-05
"magnolia
" 178897 "2017-09-22 17:00:16" "2017-07-10 16:03:10" 74 2.675675675675676 198 5853 20445 103.25757575757575 29.560606060606062 355.3783783783784 0.001986497137338124
"HourglassMakeup
" 178643 "2017-09-24 00:00:15" "2017-08-28 15:52:52" 26 7.538461538461538 196 911 3636 18.551020408163264 4.6479591836734695 174.8846153846154 0.000978961478393306
"PlumOrganics
" 178367 "2017-09-22 17:48:00" "2017-02-08 18:59:00" 225 0.8888888888888888 200 129 269 1.345 0.645 1.7688888888888887 9.917130909242678e-06
"PHVegas
