User "Follower Count" "First Tweet Date" "Last Tweet Date" "Time Between T1 Tn" "Avg Tweets Per Day" "Tweet Total" "Retweet Total" "Favorite Total" "Avg Favorites" "Average Retweets" "Avg Inter Per Tweet" "Avg Int Per Tweet Per Follower"
espn 33531576 "2017-09-21 14:21:57" "2017-09-12 00:27:12" 9 22.22222222222222 200 230190 501038 2505.19 1150.95 81247.55555555556 0.0024230163102251906
onedirection 31861302 "2017-05-11 17:16:50" "2016-05-18 17:25:35" 357 0.5574229691876751 199 6733567 6490243 32614.286432160803 33837.020100502516 37041.48459383754 0.0011625854019976188
wizkhalifa 31956175 "2017-09-20 17:28:20" "2017-06-25 23:04:29" 86 2.3255813953488373 200 1017319 2378360 11891.8 5086.595 39484.63953488372 0.0012355871606937851
LilTunechi 31330033 "2017-09-18 22:51:30" "2016-10-13 22:07:12" 340 0.5882352941176471 200 563664 1348202 6741.01 2818.32 5623.135294117647 0.00017948066936659938
Harry_Styles 31166003 "2017-09-19 16:38:09" "2015-08-09 23:22:39" 771 0.2594033722438392 200 30826792 51835789 259178.945 154133.96 107214.76134889753 0.0034401190729814644
Pink 30371745 "2017-09-21 03:00:32" "2017-07-26 21:37:21" 56 3.5714285714285716 200 1642568 711972 3559.86 8212.84 42045.357142857145 0.0013843576371017584
SrBachchan 29517127 "2017-09-20 18:41:43" "2017-09-05 19:00:17" 14 14.071428571428571 197 48792 467109 2371.1116751269037 247.6751269035533 36850.07142857143 0.0012484301547563022
Adele 28707722 "2017-09-04 16:31:17" "2011-07-08 14:23:48" 2250 0.08888888888888889 200 1652604 4109452 20547.26 8263.02 2560.913777777778 8.920644340145756e-05
aliciakeys 28286322 "2017-09-18 20:56:01" "2017-04-11 02:05:58" 160 1.25 200 222433 690180 3450.9 1112.165 5703.83125 0.00020164626740797195
KAKA 28180161 "2017-09-14 20:31:07" "2016-05-19 02:43:11" 483 0.4140786749482402 200 237917 477129 2385.645 1189.585 1480.4265010351967 5.253435212932945e-05
iamsrk 28302288 "2017-09-18 23:54:19" "2017-07-21 19:27:51" 59 3.389830508474576 200 457539 2133020 10665.1 2287.695 43907.779661016946 0.001551386222238179
Louis_Tomlinson 28151958 "2017-09-20 23:45:29" "2017-06-24 08:27:53" 88 2.272727272727273 200 4858123 11790182 58950.91 24290.615 189185.2840909091 0.006720146573496205
LiamPayne 27821005 "2017-09-19 12:05:04" "2017-06-06 16:00:10" 104 1.9038461538461537 198 3659842 8430367 42577.61111111111 18484.050505050505 116252.00961538462 0.004178569739496637
danieltosh 27501140 "2017-09-20 16:19:40" "2017-04-11 18:49:53" 161 1.2422360248447204 200 103267 432563 2162.815 516.335 3328.136645962733 0.00012101813401054403
ActuallyNPH 27415263 "2017-09-21 07:02:02" "2016-10-12 01:23:38" 344 0.5813953488372093 200 191775 1242393 6211.965 958.875 4169.093023255814 0.0001520719689340866
NBA 26454813 "2017-09-21 13:59:37" "2017-09-14 23:28:13" 6 33.333333333333336 200 183154 168161 840.805 915.77 58552.5 0.0022133023582514076
EmmaWatson 26377849 "2017-09-21 00:28:08" "2016-06-23 16:14:20" 454 0.44052863436123346 200 1388796 3424718 17123.59 6943.98 10602.453744493392 0.00040194534984613005
NASA 26243411 "2017-09-21 14:07:40" "2017-09-09 19:28:04" 11 18.181818181818183 200 306439 433092 2165.46 1532.195 67230.09090909091 0.002561789353872136
realmadrid 26204454 "2017-09-21 13:50:32" "2017-09-10 23:31:37" 10 20.0 200 259277 845520 4227.6 1296.385 110479.7 0.004216065711577123
pitbull 25953212 "2017-09-20 00:04:57" "2017-03-22 20:18:01" 181 1.1049723756906078 200 185551 610841 3054.205 927.755 4399.955801104972 0.00016953415250123846
ConanOBrien 25804346 "2017-09-20 18:33:43" "2017-04-01 16:35:11" 172 1.1627906976744187 200 363144 2183680 10918.4 1815.72 14807.116279069767 0.0005738225754324394
BeingSalmanKhan 25878136 "2017-09-21 04:48:00" "2016-12-01 05:30:31" 293 0.6825938566552902 200 904883 5184555 25922.775 4524.415 20783.064846416382 0.0008031128998787386
khloekardashian 24932594 "2017-09-21 04:58:02" "2017-08-14 22:42:15" 37 5.405405405405405 200 49263 420795 2103.975 246.315 12704.27027027027 0.0005095446655197718
KendallJenner 24339163 "2017-09-20 23:42:21" "2016-11-29 20:36:00" 295 0.6779661016949152 200 1178633 3775830 18879.15 5893.165 16794.789830508475 0.000690031527810076
NFL 24073412 "2017-09-21 14:30:11" "2017-09-18 17:47:07" 2 100.0 200 81246 126833 634.165 406.23 104039.5 0.004321759624269297
